INFO 2022-12-20 18:06:08 (27806) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 9  - Weit weg           - Far away           - https://affenknecht.com/lyrics/weit-weg/
INFO 2022-12-20 18:06:08 (27871) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 10 - Tattoo             - Tattoo             - https://affenknecht.com/lyrics/tattoo/
INFO 2022-12-20 18:06:08 (27926) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 11 - Hallomann          - Announcer          - https://affenknecht.com/lyrics/hallomann/
INFO 2022-12-20 18:06:08 (27926) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - ----------------------------------------------------------------------------------------------------
INFO 2022-12-20 18:06:08 (27952) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - Made in Germany
INFO 2022-12-20 18:06:08 (28021) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 1  - Mein Land          - My Country         - https://affenknecht.com/lyrics/rammstein-mein-land/
INFO 2022-12-20 18:06:08 (28077) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 2  - Vergiss uns nicht  - Don’t forget us    - https://affenknecht.com/lyrics/rammstein-vergiss-uns-nicht-lyric-with-english-translation/
INFO 2022-12-20 18:06:08 (28077) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - ----------------------------------------------------------------------------------------------------
INFO 2022-12-20 18:06:08 (28108) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - Liebe ist für alle da
INFO 2022-12-20 18:06:08 (28194) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 1  - Rammlied           - Rammsong           - https://affenknecht.com/lyrics/rammstein-rammlied/
